,Actual,Predicted,DATE,STATION_CODES,PredictedDelay,Predicted_Delay
7074,Mostly Cloudy,Mostly Cloudy,2005-05-10,9,No Delay,None
7075,Mostly Cloudy,Mostly Cloudy,2005-05-11,9,No Delay,None
7076,Mostly Cloudy,Clear,2005-05-12,9,No Delay,None
7077,Mostly Cloudy,Clear,2005-05-13,9,No Delay,None
7078,Mostly Cloudy,Rain,2005-05-14,9,No Delay,None
7079,Rain,Rain,2005-05-15,9,No Delay,None
7080,Rain,Rain,2005-05-16,9,No Delay,None
7081,Rain,Mostly Cloudy,2005-05-17,9,No Delay,None
7082,Rain,Rain,2005-05-18,9,No Delay,None
7083,Clear,Clear,2005-05-19,9,No Delay,None
7084,Clear,Clear,2005-05-20,9,No Delay,None
7085,Clear,Clear,2005-05-21,9,No Delay,None
7086,Mostly Cloudy,Mostly Cloudy,2005-05-22,9,No Delay,None
7087,Clear,Clear,2005-05-23,9,No Delay,None
7088,Clear,Clear,2005-05-24,9,No Delay,None
7089,Clear,Clear,2005-05-25,9,No Delay,None
7090,Clear,Clear,2005-05-26,9,No Delay,None
7091,Clear,Mostly Cloudy,2005-05-27,9,No Delay,None
7092,Clear,Mostly Cloudy,2005-05-28,9,No Delay,None
7093,Mostly Cloudy,Mostly Cloudy,2005-05-29,9,No Delay,None
7094,Clear,Mostly Cloudy,2005-05-30,9,No Delay,None
7095,Clear,Clear,2005-05-31,9,No Delay,None
7096,Clear,Mostly Cloudy,2005-06-01,9,No Delay,None
7097,Clear,Clear,2005-06-02,9,No Delay,None
7098,Clear,Clear,2005-06-03,9,No Delay,None
7099,Clear,Clear,2005-06-04,9,No Delay,None
7100,Mostly Cloudy,Mostly Cloudy,2005-06-05,9,No Delay,None
7101,Clear,Mostly Cloudy,2005-06-06,9,No Delay,None
7102,Clear,Clear,2005-06-07,9,No Delay,None
7103,Clear,Clear,2005-06-08,9,No Delay,None
7104,Clear,Clear,2005-06-09,9,No Delay,None
7105,Clear,Clear,2005-06-10,9,No Delay,None
7106,Mostly Cloudy,Mostly Cloudy,2005-06-11,9,No Delay,None
7107,Clear,Clear,2005-06-12,9,No Delay,None
7108,Clear,Clear,2005-06-13,9,No Delay,None
7109,Clear,Mostly Cloudy,2005-06-14,9,No Delay,None
7110,Clear,Clear,2005-06-15,9,No Delay,None
7111,Clear,Mostly Cloudy,2005-06-16,9,No Delay,None
7112,Mostly Cloudy,Mostly Cloudy,2005-06-17,9,No Delay,None
7113,Mostly Cloudy,Clear,2005-06-18,9,No Delay,None
7114,Clear,Clear,2005-06-19,9,No Delay,None
7115,Clear,Clear,2005-06-20,9,No Delay,None
7116,Clear,Clear,2005-06-21,9,No Delay,None
7117,Clear,Clear,2005-06-22,9,No Delay,None
7118,Clear,Clear,2005-06-23,9,No Delay,None
7119,Clear,Clear,2005-06-24,9,No Delay,None
7120,Clear,Mostly Cloudy,2005-06-25,9,No Delay,None
7121,Mostly Cloudy,Clear,2005-06-26,9,No Delay,None
7122,Rain,Rain,2005-06-27,9,No Delay,None
7123,Mostly Cloudy,Clear,2005-06-28,9,No Delay,None
7124,Clear,Clear,2005-06-29,9,No Delay,None
7125,Clear,Clear,2005-06-30,9,No Delay,None
7126,Clear,Clear,2005-07-01,9,No Delay,None
7127,Clear,Clear,2005-07-02,9,No Delay,None
7128,Clear,Clear,2005-07-03,9,No Delay,None
7129,Clear,Clear,2005-07-04,9,No Delay,None
7130,Clear,Clear,2005-07-05,9,No Delay,None
7131,Clear,Mostly Cloudy,2005-07-06,9,No Delay,None
7132,Clear,Clear,2005-07-07,9,No Delay,None
7133,Clear,Clear,2005-07-08,9,No Delay,None
7134,Rain,Rain,2005-07-09,9,No Delay,None
7135,Mostly Cloudy,Snow,2005-07-10,9,Delay,Delay
7136,Clear,Clear,2005-07-11,9,No Delay,None
7137,Clear,Clear,2005-07-12,9,No Delay,None
7138,Clear,Clear,2005-07-13,9,No Delay,None
7139,Clear,Clear,2005-07-14,9,No Delay,None
7140,Clear,Clear,2005-07-15,9,No Delay,None
7141,Clear,Clear,2005-07-16,9,No Delay,None
7142,Clear,Clear,2005-07-17,9,No Delay,None
7143,Clear,Clear,2005-07-18,9,No Delay,None
7144,Clear,Clear,2005-07-19,9,No Delay,None
7145,Clear,Clear,2005-07-20,9,No Delay,None
7146,Clear,Mostly Cloudy,2005-07-21,9,No Delay,None
7147,Clear,Clear,2005-07-22,9,No Delay,None
7148,Clear,Clear,2005-07-23,9,No Delay,None
7149,Clear,Clear,2005-07-24,9,No Delay,None
7150,Clear,Clear,2005-07-25,9,No Delay,None
7151,Clear,Clear,2005-07-26,9,No Delay,None
7152,Clear,Clear,2005-07-27,9,No Delay,None
7153,Clear,Clear,2005-07-28,9,No Delay,None
7154,Clear,Clear,2005-07-29,9,No Delay,None
7155,Clear,Clear,2005-07-30,9,No Delay,None
7156,Clear,Mostly Cloudy,2005-07-31,9,No Delay,None
7157,Clear,Clear,2005-08-01,9,No Delay,None
7158,Clear,Clear,2005-08-02,9,No Delay,None
7159,Clear,Clear,2005-08-03,9,No Delay,None
7160,Clear,Clear,2005-08-04,9,No Delay,None
7161,Clear,Clear,2005-08-05,9,No Delay,None
7162,Clear,Clear,2005-08-06,9,No Delay,None
7163,Clear,Clear,2005-08-07,9,No Delay,None
7164,Clear,Clear,2005-08-08,9,No Delay,None
7165,Clear,Clear,2005-08-09,9,No Delay,None
7166,Clear,Clear,2005-08-10,9,No Delay,None
7167,Clear,Clear,2005-08-11,9,No Delay,None
7168,Clear,Clear,2005-08-12,9,No Delay,None
7169,Clear,Clear,2005-08-13,9,No Delay,None
7170,Clear,Clear,2005-08-14,9,No Delay,None
7171,Clear,Clear,2005-08-15,9,No Delay,None
7172,Clear,Clear,2005-08-16,9,No Delay,None
7173,Clear,Mostly Cloudy,2005-08-17,9,No Delay,None
7174,Clear,Clear,2005-08-18,9,No Delay,None
7175,Clear,Clear,2005-08-19,9,No Delay,None
7176,Clear,Clear,2005-08-20,9,No Delay,None
7177,Clear,Clear,2005-08-21,9,No Delay,None
7178,Clear,Clear,2005-08-22,9,No Delay,None
7179,Clear,Clear,2005-08-23,9,No Delay,None
7180,Clear,Clear,2005-08-24,9,No Delay,None
7181,Clear,Partly Cloudy,2005-08-25,9,No Delay,None
7182,Clear,Clear,2005-08-26,9,No Delay,None
7183,Clear,Clear,2005-08-27,9,No Delay,None
7184,Clear,Clear,2005-08-28,9,No Delay,None
7185,Clear,Clear,2005-08-29,9,No Delay,None
7186,Clear,Clear,2005-08-30,9,No Delay,None
7187,Clear,Clear,2005-08-31,9,No Delay,None
7188,Clear,Clear,2005-09-01,9,No Delay,None
7189,Clear,Clear,2005-09-02,9,No Delay,None
7190,Clear,Clear,2005-09-03,9,No Delay,None
7191,Clear,Clear,2005-09-04,9,No Delay,None
7192,Clear,Clear,2005-09-05,9,No Delay,None
7193,Clear,Clear,2005-09-06,9,No Delay,None
7194,Clear,Clear,2005-09-07,9,No Delay,None
7195,Clear,Partly Cloudy,2005-09-08,9,No Delay,None
7196,Clear,Clear,2005-09-09,9,No Delay,None
7197,Mostly Cloudy,Mostly Cloudy,2005-09-10,9,No Delay,None
7198,Clear,Clear,2005-09-11,9,No Delay,None
7199,Mostly Cloudy,Clear,2005-09-12,9,No Delay,None
7200,Clear,Clear,2005-09-13,9,No Delay,None
7201,Clear,Clear,2005-09-14,9,No Delay,None
7202,Clear,Partly Cloudy,2005-09-15,9,No Delay,None
7203,Mostly Cloudy,Clear,2005-09-16,9,No Delay,None
7204,Mostly Cloudy,Mostly Cloudy,2005-09-17,9,No Delay,None
7205,Clear,Clear,2005-09-18,9,No Delay,None
7206,Clear,Clear,2005-09-19,9,No Delay,None
7207,Clear,Clear,2005-09-20,9,No Delay,None
7208,Clear,Clear,2005-09-21,9,No Delay,None
7209,Mostly Cloudy,Mostly Cloudy,2005-09-22,9,No Delay,None
7210,Mostly Cloudy,Mostly Cloudy,2005-09-23,9,No Delay,None
7211,Mostly Cloudy,Mostly Cloudy,2005-09-24,9,No Delay,None
7212,Clear,Clear,2005-09-25,9,No Delay,None
7213,Clear,Clear,2005-09-26,9,No Delay,None
7214,Clear,Clear,2005-09-27,9,No Delay,None
7215,Clear,Partly Cloudy,2005-09-28,9,No Delay,None
7216,Clear,Partly Cloudy,2005-09-29,9,No Delay,None
7217,Clear,Mostly Cloudy,2005-09-30,9,No Delay,None
7218,Rain,Rain,2005-10-01,9,No Delay,None
7219,Mostly Cloudy,Mostly Cloudy,2005-10-02,9,No Delay,None
7220,Mostly Cloudy,Mostly Cloudy,2005-10-03,9,No Delay,None
7221,Clear,Mostly Cloudy,2005-10-04,9,No Delay,None
7222,Clear,Mostly Cloudy,2005-10-05,9,No Delay,None
7223,Clear,Partly Cloudy,2005-10-06,9,No Delay,None
7224,Clear,Mostly Cloudy,2005-10-07,9,No Delay,None
7225,Clear,Partly Cloudy,2005-10-08,9,No Delay,None
7226,Clear,Clear,2005-10-09,9,No Delay,None
7227,Clear,Clear,2005-10-10,9,No Delay,None
7228,Mostly Cloudy,Mostly Cloudy,2005-10-11,9,No Delay,None
7229,Clear,Clear,2005-10-12,9,No Delay,None
7230,Clear,Clear,2005-10-13,9,No Delay,None
7231,Clear,Clear,2005-10-14,9,No Delay,None
7232,Hazy,Mostly Cloudy,2005-10-15,9,No Delay,None
7233,Hazy,Mostly Cloudy,2005-10-16,9,No Delay,None
7234,Clear,Clear,2005-10-17,9,No Delay,None
7235,Clear,Clear,2005-10-18,9,No Delay,None
7236,Clear,Clear,2005-10-19,9,No Delay,None
7237,Clear,Clear,2005-10-20,9,No Delay,None
7238,Clear,Clear,2005-10-21,9,No Delay,None
7239,Clear,Clear,2005-10-22,9,No Delay,None
7240,Clear,Clear,2005-10-23,9,No Delay,None
7241,Clear,Clear,2005-10-24,9,No Delay,None
7242,Clear,Mostly Cloudy,2005-10-25,9,No Delay,None
7243,Rain,Mostly Cloudy,2005-10-26,9,No Delay,None
7244,Mostly Cloudy,Mostly Cloudy,2005-10-27,9,No Delay,None
7245,Mostly Cloudy,Mostly Cloudy,2005-10-28,9,No Delay,None
7246,Mostly Cloudy,Mostly Cloudy,2005-10-29,9,No Delay,None
7247,Clear,Clear,2005-10-30,9,No Delay,None
7248,Mostly Cloudy,Mostly Cloudy,2005-10-31,9,No Delay,None
7249,Mostly Cloudy,Mostly Cloudy,2005-11-01,9,No Delay,None
7250,Rain,Snow,2005-11-02,9,Delay,Delay
7251,Rain,Mostly Cloudy,2005-11-03,9,No Delay,None
7252,Mostly Cloudy,Mostly Cloudy,2005-11-04,9,No Delay,None
7253,Snow,Snow,2005-11-05,9,Delay,Delay
7254,Rain,Snow,2005-11-06,9,Delay,Delay
7255,Snow,Rain and Snow,2005-11-07,9,No Delay,None
7256,Clear,Clear,2005-11-08,9,No Delay,None
7257,Clear,Partly Cloudy,2005-11-09,9,No Delay,None
7258,Clear,Clear,2005-11-10,9,No Delay,None
7259,Mostly Cloudy,Mostly Cloudy,2005-11-11,9,No Delay,None
7260,Mostly Cloudy,Mostly Cloudy,2005-11-12,9,No Delay,None
7261,Mostly Cloudy,Mostly Cloudy,2005-11-13,9,No Delay,None
7262,Clear,Mostly Cloudy,2005-11-14,9,No Delay,None
7263,Clear,Clear,2005-11-15,9,No Delay,None
7264,Clear,Fog,2005-11-16,9,Delay,Delay
7265,Clear,Partly Cloudy,2005-11-17,9,No Delay,None
7266,Clear,Clear,2005-11-18,9,No Delay,None
7267,Clear,Clear,2005-11-19,9,No Delay,None
7268,Clear,Clear,2005-11-20,9,No Delay,None
7269,Clear,Clear,2005-11-21,9,No Delay,None
7270,Clear,Clear,2005-11-22,9,No Delay,None
7271,Clear,Clear,2005-11-23,9,No Delay,None
7272,Mostly Cloudy,Clear,2005-11-24,9,No Delay,None
7273,Rain,Rain and Snow,2005-11-25,9,No Delay,None
7274,Clear,Clear,2005-11-26,9,No Delay,None
7275,Mostly Cloudy,Clear,2005-11-27,9,No Delay,None
7276,Snow,Snow,2005-11-28,9,Delay,Delay
7277,Mostly Cloudy,Mostly Cloudy,2005-11-29,9,No Delay,None
7278,Mostly Cloudy,Mostly Cloudy,2005-11-30,9,No Delay,None
7279,Snow,Rain,2005-12-01,9,No Delay,None
7280,Clear,Clear,2005-12-02,9,No Delay,None
7281,Mostly Cloudy,Mostly Cloudy,2005-12-03,9,No Delay,None
7282,Mostly Cloudy,Mostly Cloudy,2005-12-04,9,No Delay,None
7283,Clear,Mostly Cloudy,2005-12-05,9,No Delay,None
7284,Clear,Mostly Cloudy,2005-12-06,9,No Delay,None
7285,Mostly Cloudy,Clear,2005-12-07,9,No Delay,None
7286,Mostly Cloudy,Clear,2005-12-08,9,No Delay,None
7287,Mostly Cloudy,Fog,2005-12-09,9,Delay,Delay
7288,Mostly Cloudy,Mostly Cloudy,2005-12-10,9,No Delay,None
7289,Hazy,Mostly Cloudy,2005-12-11,9,No Delay,None
7290,Hazy,Clear,2005-12-12,9,No Delay,None
7291,Hazy,Clear,2005-12-13,9,No Delay,None
7292,Hazy,Mostly Cloudy,2005-12-14,9,No Delay,None
7293,Clear,Clear,2005-12-15,9,No Delay,None
7294,Mostly Cloudy,Mostly Cloudy,2005-12-16,9,No Delay,None
7295,Clear,Partly Cloudy,2005-12-17,9,No Delay,None
7296,Snow,Snow,2005-12-18,9,Delay,Delay
7297,Rain,Rain,2005-12-19,9,No Delay,None
7298,Mostly Cloudy,Mostly Cloudy,2005-12-20,9,No Delay,None
7299,Rain,Snow,2005-12-21,9,Delay,Delay
7300,Mostly Cloudy,Rain and Snow,2005-12-22,9,No Delay,None
7301,Clear,Clear,2005-12-23,9,No Delay,None
7302,Clear,Fog,2005-12-24,9,Delay,Delay
7303,Rain,Mostly Cloudy,2005-12-25,9,No Delay,None
7304,Mostly Cloudy,Clear,2005-12-26,9,No Delay,None
7305,Rain,Snow,2005-12-27,9,Delay,Delay
7306,Rain,Rain,2005-12-28,9,No Delay,None
7307,Mostly Cloudy,Mostly Cloudy,2005-12-29,9,No Delay,None
7308,Rain,Rain,2005-12-30,9,No Delay,None
7309,Rain,Rain,2005-12-31,9,No Delay,None
7310,Rain,Rain,2004-01-01,10,No Delay,None
7311,Rain,Partly Cloudy,2004-01-02,10,No Delay,None
7312,Rain,Rain,2004-01-03,10,No Delay,None
7313,Rain,Rain,2004-01-04,10,No Delay,None
7314,Rain,Rain,2004-01-05,10,No Delay,None
7315,Mostly Cloudy,Mostly Cloudy,2004-01-06,10,No Delay,None
7316,Rain,Rain,2004-01-07,10,No Delay,None
7317,Rain,Rain,2004-01-08,10,No Delay,None
7318,Rain,Rain,2004-01-09,10,No Delay,None
7319,Mostly Cloudy,Rain,2004-01-10,10,No Delay,None
7320,Partly Cloudy,Clear,2004-01-11,10,No Delay,None
7321,Rain,Rain,2004-01-12,10,No Delay,None
7322,Mostly Cloudy,Mostly Cloudy,2004-01-13,10,No Delay,None
7323,Rain,Rain,2004-01-14,10,No Delay,None
7324,Mostly Cloudy,Rain,2004-01-15,10,No Delay,None
7325,Mostly Cloudy,Mostly Cloudy,2004-01-16,10,No Delay,None
7326,Mostly Cloudy,Mostly Cloudy,2004-01-17,10,No Delay,None
7327,Rain,Mostly Cloudy,2004-01-18,10,No Delay,None
7328,Rain,Mostly Cloudy,2004-01-19,10,No Delay,None
7329,Clear,Clear,2004-01-20,10,No Delay,None
7330,Clear,Clear,2004-01-21,10,No Delay,None
7331,Mostly Cloudy,Partly Cloudy,2004-01-22,10,No Delay,None
7332,Rain,Rain,2004-01-23,10,No Delay,None
7333,Rain,Rain,2004-01-24,10,No Delay,None
7334,Mostly Cloudy,Mostly Cloudy,2004-01-25,10,No Delay,None
7335,Rain,Rain,2004-01-26,10,No Delay,None
7336,Rain,Rain,2004-01-27,10,No Delay,None
7337,Rain,Rain,2004-01-28,10,No Delay,None
7338,Mostly Cloudy,Mostly Cloudy,2004-01-29,10,No Delay,None
7339,Mostly Cloudy,Mostly Cloudy,2004-01-30,10,No Delay,None
7340,Mostly Cloudy,Rain,2004-01-31,10,No Delay,None
7341,Mostly Cloudy,Mostly Cloudy,2004-02-01,10,No Delay,None
7342,Rain,Rain,2004-02-02,10,No Delay,None
7343,Mostly Cloudy,Mostly Cloudy,2004-02-03,10,No Delay,None
7344,Mostly Cloudy,Partly Cloudy,2004-02-04,10,No Delay,None
7345,Mostly Cloudy,Mostly Cloudy,2004-02-05,10,No Delay,None
7346,Rain,Rain,2004-02-06,10,No Delay,None
7347,Mostly Cloudy,Mostly Cloudy,2004-02-07,10,No Delay,None
7348,Clear,Clear,2004-02-08,10,No Delay,None
7349,Clear,Clear,2004-02-09,10,No Delay,None
7350,Clear,Clear,2004-02-10,10,No Delay,None
7351,Clear,Clear,2004-02-11,10,No Delay,None
7352,Mostly Cloudy,Mostly Cloudy,2004-02-12,10,No Delay,None
7353,Rain,Rain,2004-02-13,10,No Delay,None
7354,Mostly Cloudy,Mostly Cloudy,2004-02-14,10,No Delay,None
7355,Rain,Rain,2004-02-15,10,No Delay,None
7356,Rain,Rain,2004-02-16,10,No Delay,None
7357,Rain,Rain,2004-02-17,10,No Delay,None
7358,Mostly Cloudy,Mostly Cloudy,2004-02-18,10,No Delay,None
7359,Mostly Cloudy,Mostly Cloudy,2004-02-19,10,No Delay,None
7360,Partly Cloudy,Clear,2004-02-20,10,No Delay,None
7361,Mostly Cloudy,Mostly Cloudy,2004-02-21,10,No Delay,None
7362,Mostly Cloudy,Partly Cloudy,2004-02-22,10,No Delay,None
7363,Mostly Cloudy,Mostly Cloudy,2004-02-23,10,No Delay,None
7364,Mostly Cloudy,Mostly Cloudy,2004-02-24,10,No Delay,None
7365,Rain,Rain,2004-02-25,10,No Delay,None
7366,Rain,Rain,2004-02-26,10,No Delay,None
7367,Rain,Rain,2004-02-27,10,No Delay,None
7368,Clear,Rain,2004-02-28,10,No Delay,None
7369,Rain,Rain,2004-02-29,10,No Delay,None
7370,Rain,Partly Cloudy,2004-03-01,10,No Delay,None
7371,Clear,Clear,2004-03-02,10,No Delay,None
7372,Mostly Cloudy,Mostly Cloudy,2004-03-03,10,No Delay,None
7373,Mostly Cloudy,Mostly Cloudy,2004-03-04,10,No Delay,None
7374,Rain,Rain,2004-03-05,10,No Delay,None
7375,Mostly Cloudy,Mostly Cloudy,2004-03-06,10,No Delay,None
7376,Clear,Clear,2004-03-07,10,No Delay,None
7377,Mostly Cloudy,Mostly Cloudy,2004-03-08,10,No Delay,None
7378,Clear,Clear,2004-03-09,10,No Delay,None
7379,Clear,Clear,2004-03-10,10,No Delay,None
7380,Clear,Clear,2004-03-11,10,No Delay,None
7381,Mostly Cloudy,Fog,2004-03-12,10,Delay,Delay
7382,Mostly Cloudy,Partly Cloudy,2004-03-13,10,No Delay,None
7383,Mostly Cloudy,Mostly Cloudy,2004-03-14,10,No Delay,None
7384,Fog,Mostly Cloudy,2004-03-15,10,No Delay,None
7385,Clear,Clear,2004-03-16,10,No Delay,None
7386,Mostly Cloudy,Mostly Cloudy,2004-03-17,10,No Delay,None
7387,Mostly Cloudy,Mostly Cloudy,2004-03-18,10,No Delay,None
7388,Partly Cloudy,Clear,2004-03-19,10,No Delay,None
7389,Mostly Cloudy,Mostly Cloudy,2004-03-20,10,No Delay,None
7390,Mostly Cloudy,Fog,2004-03-21,10,Delay,Delay
7391,Mostly Cloudy,Mostly Cloudy,2004-03-22,10,No Delay,None
7392,Clear,Clear,2004-03-23,10,No Delay,None
7393,Mostly Cloudy,Mostly Cloudy,2004-03-24,10,No Delay,None
7394,Rain,Rain,2004-03-25,10,No Delay,None
7395,Rain,Rain,2004-03-26,10,No Delay,None
7396,Mostly Cloudy,Mostly Cloudy,2004-03-27,10,No Delay,None
7397,Clear,Clear,2004-03-28,10,No Delay,None
7398,Mostly Cloudy,Mostly Cloudy,2004-03-29,10,No Delay,None
7399,Mostly Cloudy,Clear,2004-03-30,10,No Delay,None
7400,Clear,Clear,2004-03-31,10,No Delay,None
7401,Clear,Clear,2004-04-01,10,No Delay,None
7402,Clear,Clear,2004-04-02,10,No Delay,None
7403,Mostly Cloudy,Clear,2004-04-03,10,No Delay,None
7404,Mostly Cloudy,Mostly Cloudy,2004-04-04,10,No Delay,None
7405,Mostly Cloudy,Mostly Cloudy,2004-04-05,10,No Delay,None
7406,Mostly Cloudy,Mostly Cloudy,2004-04-06,10,No Delay,None
7407,Partly Cloudy,Mostly Cloudy,2004-04-07,10,No Delay,None
7408,Mostly Cloudy,Mostly Cloudy,2004-04-08,10,No Delay,None
7409,Mostly Cloudy,Mostly Cloudy,2004-04-09,10,No Delay,None
7410,Clear,Clear,2004-04-10,10,No Delay,None
7411,Mostly Cloudy,Mostly Cloudy,2004-04-11,10,No Delay,None
7412,Mostly Cloudy,Mostly Cloudy,2004-04-12,10,No Delay,None
7413,Rain,Mostly Cloudy,2004-04-13,10,No Delay,None
7414,Rain,Rain,2004-04-14,10,No Delay,None
7415,Rain,Rain,2004-04-15,10,No Delay,None
7416,Clear,Mostly Cloudy,2004-04-16,10,No Delay,None
7417,Mostly Cloudy,Mostly Cloudy,2004-04-17,10,No Delay,None
7418,Rain,Rain,2004-04-18,10,No Delay,None
7419,Rain,Rain,2004-04-19,10,No Delay,None
7420,Rain,Rain,2004-04-20,10,No Delay,None
7421,Rain,Rain,2004-04-21,10,No Delay,None
7422,Clear,Clear,2004-04-22,10,No Delay,None
7423,Mostly Cloudy,Mostly Cloudy,2004-04-23,10,No Delay,None
7424,Clear,Clear,2004-04-24,10,No Delay,None
7425,Clear,Clear,2004-04-25,10,No Delay,None
7426,Clear,Clear,2004-04-26,10,No Delay,None
7427,Clear,Mostly Cloudy,2004-04-27,10,No Delay,None
7428,Clear,Clear,2004-04-28,10,No Delay,None
7429,Clear,Clear,2004-04-29,10,No Delay,None
7430,Clear,Clear,2004-04-30,10,No Delay,None
7431,Mostly Cloudy,Mostly Cloudy,2004-05-01,10,No Delay,None
7432,Mostly Cloudy,Mostly Cloudy,2004-05-02,10,No Delay,None
7433,Mostly Cloudy,Mostly Cloudy,2004-05-03,10,No Delay,None
7434,Mostly Cloudy,Mostly Cloudy,2004-05-04,10,No Delay,None
7435,Mostly Cloudy,Mostly Cloudy,2004-05-05,10,No Delay,None
7436,Mostly Cloudy,Mostly Cloudy,2004-05-06,10,No Delay,None
7437,Mostly Cloudy,Mostly Cloudy,2004-05-07,10,No Delay,None
7438,Mostly Cloudy,Mostly Cloudy,2004-05-08,10,No Delay,None
7439,Mostly Cloudy,Partly Cloudy,2004-05-09,10,No Delay,None
7440,Mostly Cloudy,Mostly Cloudy,2004-05-10,10,No Delay,None
7441,Mostly Cloudy,Mostly Cloudy,2004-05-11,10,No Delay,None
7442,Clear,Clear,2004-05-12,10,No Delay,None
7443,Mostly Cloudy,Clear,2004-05-13,10,No Delay,None
7444,Mostly Cloudy,Fog,2004-05-14,10,Delay,Delay
7445,Clear,Clear,2004-05-15,10,No Delay,None
7446,Partly Cloudy,Clear,2004-05-16,10,No Delay,None
7447,Mostly Cloudy,Mostly Cloudy,2004-05-17,10,No Delay,None
7448,Mostly Cloudy,Fog,2004-05-18,10,Delay,Delay
7449,Partly Cloudy,Clear,2004-05-19,10,No Delay,None
7450,Mostly Cloudy,Mostly Cloudy,2004-05-20,10,No Delay,None
7451,Mostly Cloudy,Mostly Cloudy,2004-05-21,10,No Delay,None
7452,Mostly Cloudy,Mostly Cloudy,2004-05-22,10,No Delay,None
7453,Clear,Clear,2004-05-23,10,No Delay,None
7454,Clear,Clear,2004-05-24,10,No Delay,None
7455,Clear,Clear,2004-05-25,10,No Delay,None
7456,Mostly Cloudy,Mostly Cloudy,2004-05-26,10,No Delay,None
7457,Rain,Rain,2004-05-27,10,No Delay,None
7458,Mostly Cloudy,Mostly Cloudy,2004-05-28,10,No Delay,None
7459,Clear,Mostly Cloudy,2004-05-29,10,No Delay,None
7460,Mostly Cloudy,Mostly Cloudy,2004-05-30,10,No Delay,None
7461,Clear,Partly Cloudy,2004-05-31,10,No Delay,None
7462,Clear,Clear,2004-06-01,10,No Delay,None
7463,Mostly Cloudy,Mostly Cloudy,2004-06-02,10,No Delay,None
7464,Mostly Cloudy,Mostly Cloudy,2004-06-03,10,No Delay,None
7465,Mostly Cloudy,Partly Cloudy,2004-06-04,10,No Delay,None
7466,Mostly Cloudy,Mostly Cloudy,2004-06-05,10,No Delay,None
7467,Mostly Cloudy,Mostly Cloudy,2004-06-06,10,No Delay,None
7468,Mostly Cloudy,Mostly Cloudy,2004-06-07,10,No Delay,None
7469,Mostly Cloudy,Rain,2004-06-08,10,No Delay,None
7470,Mostly Cloudy,Mostly Cloudy,2004-06-09,10,No Delay,None
7471,Mostly Cloudy,Mostly Cloudy,2004-06-10,10,No Delay,None
7472,Clear,Partly Cloudy,2004-06-11,10,No Delay,None
7473,Mostly Cloudy,Mostly Cloudy,2004-06-12,10,No Delay,None
7474,Mostly Cloudy,Clear,2004-06-13,10,No Delay,None
7475,Clear,Clear,2004-06-14,10,No Delay,None
7476,Clear,Partly Cloudy,2004-06-15,10,No Delay,None
7477,Clear,Mostly Cloudy,2004-06-16,10,No Delay,None
7478,Mostly Cloudy,Mostly Cloudy,2004-06-17,10,No Delay,None
7479,Mostly Cloudy,Fog,2004-06-18,10,Delay,Delay
7480,Mostly Cloudy,Mostly Cloudy,2004-06-19,10,No Delay,None
7481,Mostly Cloudy,Fog,2004-06-20,10,Delay,Delay
7482,Mostly Cloudy,Mostly Cloudy,2004-06-21,10,No Delay,None
7483,Mostly Cloudy,Mostly Cloudy,2004-06-22,10,No Delay,None
7484,Mostly Cloudy,Mostly Cloudy,2004-06-23,10,No Delay,None
7485,Mostly Cloudy,Mostly Cloudy,2004-06-24,10,No Delay,None
7486,Mostly Cloudy,Mostly Cloudy,2004-06-25,10,No Delay,None
7487,Clear,Clear,2004-06-26,10,No Delay,None
7488,Clear,Clear,2004-06-27,10,No Delay,None
7489,Clear,Clear,2004-06-28,10,No Delay,None
7490,Mostly Cloudy,Fog,2004-06-29,10,Delay,Delay
7491,Mostly Cloudy,Mostly Cloudy,2004-06-30,10,No Delay,None
7492,Mostly Cloudy,Mostly Cloudy,2004-07-01,10,No Delay,None
7493,Mostly Cloudy,Mostly Cloudy,2004-07-02,10,No Delay,None
7494,Mostly Cloudy,Mostly Cloudy,2004-07-03,10,No Delay,None
7495,Clear,Mostly Cloudy,2004-07-04,10,No Delay,None
7496,Clear,Mostly Cloudy,2004-07-05,10,No Delay,None
7497,Clear,Mostly Cloudy,2004-07-06,10,No Delay,None
7498,Clear,Clear,2004-07-07,10,No Delay,None
7499,Clear,Mostly Cloudy,2004-07-08,10,No Delay,None
7500,Clear,Fog,2004-07-09,10,Delay,Delay
7501,Mostly Cloudy,Clear,2004-07-10,10,No Delay,None
7502,Mostly Cloudy,Fog,2004-07-11,10,Delay,Delay
7503,Mostly Cloudy,Mostly Cloudy,2004-07-12,10,No Delay,None
7504,Mostly Cloudy,Mostly Cloudy,2004-07-13,10,No Delay,None
7505,Mostly Cloudy,Mostly Cloudy,2004-07-14,10,No Delay,None
7506,Mostly Cloudy,Fog,2004-07-15,10,Delay,Delay
7507,Fog,Fog,2004-07-16,10,Delay,Delay
7508,Mostly Cloudy,Fog,2004-07-17,10,Delay,Delay
7509,Mostly Cloudy,Fog,2004-07-18,10,Delay,Delay
7510,Mostly Cloudy,Clear,2004-07-19,10,No Delay,None
7511,Clear,Mostly Cloudy,2004-07-20,10,No Delay,None
7512,Mostly Cloudy,Clear,2004-07-21,10,No Delay,None
7513,Mostly Cloudy,Mostly Cloudy,2004-07-22,10,No Delay,None
7514,Mostly Cloudy,Mostly Cloudy,2004-07-23,10,No Delay,None
